Cricinfo_URL,Cricbuzz_URL
https://www.espncricinfo.com/series/19430/scorecard/1152846/england-vs-australia-1st-test-icc-world-test-championship-2019-2021,https://www.cricbuzz.com/cricket-scores/20715/eng-vs-aus-1st-test-the-ashes-2019
https://www.espncricinfo.com/series/19430/scorecard/1192873/sri-lanka-vs-new-zealand-1st-test-icc-world-test-championship-2019-2021,https://www.cricbuzz.com/cricket-scores/22954/sl-vs-nz-1st-test-new-zealand-tour-of-sri-lanka-2019
https://www.espncricinfo.com/series/19430/scorecard/1152847/england-vs-australia-2nd-test-icc-world-test-championship-2019-2021,https://www.cricbuzz.com/cricket-scores/20716/eng-vs-aus-2nd-test-the-ashes-2019
https://www.espncricinfo.com/series/19430/scorecard/1192874/sri-lanka-vs-new-zealand-2nd-test-icc-world-test-championship-2019-2021,https://www.cricbuzz.com/cricket-scores/22955/sl-vs-nz-2nd-test-new-zealand-tour-of-sri-lanka-2019
https://www.espncricinfo.com/series/19430/scorecard/1152848/england-vs-australia-3rd-test-icc-world-test-championship-2019-2021,https://www.cricbuzz.com/cricket-scores/20717/eng-vs-aus-3rd-test-the-ashes-2019
https://www.espncricinfo.com/series/19430/scorecard/1188628/west-indies-vs-india-1st-test-icc-world-test-championship-2019-2021,https://www.cricbuzz.com/cricket-scores/22859/wi-vs-ind-1st-test-india-tour-of-west-indies-2019
https://www.espncricinfo.com/series/19430/scorecard/1188629/west-indies-vs-india-2nd-test-icc-world-test-championship-2019-2021,https://www.cricbuzz.com/cricket-scores/22860/wi-vs-ind-2nd-test-india-tour-of-west-indies-2019
https://www.espncricinfo.com/series/19430/scorecard/1152849/england-vs-australia-4th-test-icc-world-test-championship-2019-2021,https://www.cricbuzz.com/cricket-scores/20718/eng-vs-aus-4th-test-the-ashes-2019
https://www.espncricinfo.com/series/19430/scorecard/1152850/england-vs-australia-5th-test-icc-world-test-championship-2019-2021,https://www.cricbuzz.com/cricket-scores/20719/eng-vs-aus-5th-test-the-ashes-2019
https://www.espncricinfo.com/series/19430/scorecard/1187007/india-vs-south-africa-1st-test-icc-world-test-championship-2019-2021,https://www.cricbuzz.com/cricket-scores/22743/ind-vs-rsa-1st-test-south-africa-tour-of-india-2019
https://www.espncricinfo.com/series/19430/scorecard/1187008/india-vs-south-africa-2nd-test-icc-world-test-championship-2019-2021,https://www.cricbuzz.com/cricket-scores/22744/ind-vs-rsa-2nd-test-south-africa-tour-of-india-2019
https://www.espncricinfo.com/series/19430/scorecard/1187009/india-vs-south-africa-3rd-test-icc-world-test-championship-2019-2021,https://www.cricbuzz.com/cricket-scores/22745/ind-vs-rsa-3rd-test-south-africa-tour-of-india-2019
https://www.espncricinfo.com/series/19430/scorecard/1187016/india-vs-bangladesh-1st-test-icc-world-test-championship-2019-2021,https://www.cricbuzz.com/cricket-scores/22749/ind-vs-ban-1st-test-bangladesh-tour-of-india-2019
https://www.espncricinfo.com/series/19430/scorecard/1183530/australia-vs-pakistan-1st-test-icc-world-test-championship-2019-2021,https://www.cricbuzz.com/cricket-scores/22579/aus-vs-pak-1st-test-pakistan-tour-of-australia-2019
https://www.espncricinfo.com/series/19430/scorecard/1187017/india-vs-bangladesh-2nd-test-icc-world-test-championship-2019-2021,https://www.cricbuzz.com/cricket-scores/22750/ind-vs-ban-2nd-test-bangladesh-tour-of-india-2019
https://www.espncricinfo.com/series/19430/scorecard/1183531/australia-vs-pakistan-2nd-test-icc-world-test-championship-2019-2021,https://www.cricbuzz.com/cricket-scores/22580/aus-vs-pak-2nd-test-pakistan-tour-of-australia-2019
